                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.79131,                 1.2525,                 1.2974,                0.13365,                   0.25,                0.08106,                0.04067,                 2.0855,                 3.8354,                 2.4067,               0.003961,               0.003961,               0.003961
                     63,                0.67107,                 1.1301,                 1.2021,                0.13365,                   0.25,                0.08106,                0.04067,                 2.0855,                 3.8354,                 2.4067,               0.003862,               0.003862,               0.003862
                     64,                0.68925,                 1.2338,                 1.2652,                0.13365,                   0.25,                0.08106,                0.04067,                 2.0855,                 3.8354,                 2.4067,               0.003763,               0.003763,               0.003763
                     65,                0.74559,                 1.1811,                 1.2899,                0.14553,                   0.25,                0.08521,                0.03784,                 2.1089,                 3.4961,                 2.3204,               0.003664,               0.003664,               0.003664
                     66,                0.66746,                 1.0682,                 1.1811,                0.14553,                   0.25,                0.08521,                0.03784,                 2.1089,                 3.4961,                 2.3204,               0.003565,               0.003565,               0.003565
                     67,                0.70594,                  1.207,                  1.278,                0.16663,                   0.25,                0.08122,                0.03908,                 2.2143,                 3.8504,                 2.4173,               0.003466,               0.003466,               0.003466
                     68,                0.63729,                 1.0184,                 1.1031,                0.16663,                   0.25,                0.08122,                0.03908,                 2.2143,                 3.8504,                 2.4173,               0.003367,               0.003367,               0.003367
                     69,                0.74953,                  1.253,                 1.3598,                0.16663,                   0.25,                0.08122,                0.03908,                 2.2143,                 3.8504,                 2.4173,               0.003268,               0.003268,               0.003268
                     70,                0.70038,                 1.2127,                  1.297,                0.10051,                0.16667,                0.04856,                0.01972,                 2.2725,                 4.2035,                 2.4656,               0.003169,               0.003169,               0.003169
                     71,                0.74521,                 1.1528,                 1.2457,                0.10051,                0.16667,                0.04856,                0.01972,                 2.2725,                 4.2035,                 2.4656,                0.00307,                0.00307,                0.00307
                     72,                0.71591,                 1.2597,                 1.2889,                0.10051,                0.16667,                0.04856,                0.01972,                 2.2725,                 4.2035,                 2.4656,               0.002971,               0.002971,               0.002971
                     73,                0.60911,                 1.1433,                 1.1777,                0.07964,                0.16667,                0.03268,                0.01229,                 2.2322,                 4.5032,                 2.4829,               0.002872,               0.002872,               0.002872
                     74,                0.66883,                 1.1378,                 1.2302,                0.07964,                0.16667,                0.03268,                0.01229,                 2.2322,                 4.5032,                 2.4829,               0.002773,               0.002773,               0.002773
                     75,                0.62781,                 1.0791,                 1.1936,                0.03923,                0.08333,                0.02816,                  0.011,                 2.1708,                 4.1966,                 2.4496,               0.002674,               0.002674,               0.002674
